userName,score,content,at,replyContent
Wan Nawan,5,game bagus,2026-01-06 12:28:19,
Aira Salsabila,5,gamenya bagus sih tapi sering keluar dari gameyan bangus ya tapi tolong ya di perbaiki 😓 🙏🏻,2026-01-06 12:26:00,
Yati,1,game babi,2026-01-06 12:23:24,
Akun Nebar,5,game nya seru banget😆,2026-01-06 12:22:35,
Made Nitiya,5,kasi sekin banyak dan karakter yang banyak,2026-01-06 12:22:29,
Adi Gantenk,5,Yunushn hurt Cancer,2026-01-06 12:21:41,
Iman Iman,5,Game bagus,2026-01-06 12:20:19,
AKUN BBS,1,"game sangat bagus dan juga player nya ramah-ramah __________________________________________________________________________________________________________________________________________________________________ ____________________________________________________________________________________________________________________________________MENDING HAPUS AJA, SAYA SUDAH BERMAIN DARI JAM 8 MALAM SAMPAI PAGI DAN BINTANG SAYA TIDAK BERTAMBAH SATU PUN, KAMI SAYANG MOONTON, MOONTON GAK SAYANG KAMI.",2026-01-06 12:20:04,
Dia Umami,5,monton kasih lah skin legend gratis kalo gak aku kasih rating bintang 1 tapi jangan susah misi nya,2026-01-06 12:19:55,
dirman,1,"moonton tolong lah kalo ada player yang mpv saat kalah bintang nya jangan di kurangi, kita tuh cape main bagus tapi kalah karena tim kita mati terus, tolonglah hargai player yang mainnya bagus",2026-01-06 12:19:31,
Gabisa Fingter,2,tim ku kenapa bot semua kalo musuh nya jago tolong benerin ini dimana letak keadilannya,2026-01-06 12:14:28,
Ropiqq Ainurr,5,monton drak sistem gue kasih bintang 5 biar paling atas,2026-01-06 12:13:55,
Kakaa 7,5,"gamenya seru, playernya ramah ramah🥰",2026-01-06 12:13:38,
Zein Asaka,5,"game mobile legends adalah game yg tidak memiliki keadilan 1%pun, dimana letak keadilan nya? ada tim pertandingan! sekarang ml ini sistem nya sudah ngacak, dimana tier rendah disatukan dengan tier yg lebih tinggi, apalagi di setiap pertandingan tim yg kuat selalu berada di pihak musuh, jika bermain solo, satu atau dua di tim kita tidak bisa bermain, sementara di tim musuh bermain dengan sempurna, jika party, tim kita bisa bermain, tapi tim musuh lebih bisa bermain! game pembuat stres",2026-01-06 12:13:38,
robin hod,3,monton ini gimana sih aku kan afk tapi di awal doang dan itu juga karena lag tapi aku malah di kenakan hukuman,2026-01-06 12:13:20,
Andin Aulia,1,"saya sudah main game ini dari s4 dan sudah ganti akun lebih dari satu, tapi keadilan match making di game ini tidak pernah adil, saya bermain solo tapi ketemu orang party, sama saja bohong, dan terkadang dapat tim boot saat solo yang sengaja bertujuan supaya kalah game play nya keliatan banget bahwa itu boot, dan terkadang tiba tiba crazy saat war padahal device saya sudah upgrate, kalo terus terusan begini mending pindah aja ke game sebelah😡",2026-01-06 12:12:44,
Ramz Volly,1,lu moonton anjg banget ngasi tim dark sistem semua anjg moonton anjg mending gua pensi aja anjg,2026-01-06 12:10:26,
Nur Khasanah,1,game rusak,2026-01-06 12:09:38,
Muhammad AnshariRahman,4,game ini sangat seru apalagi main bareng sama teman,2026-01-06 12:08:47,
Aki 23,5,game nya seru,2026-01-06 12:06:26,
Rahul Ahmad,5,sangat menagihkan saat main,2026-01-06 12:06:25,
NAKAM MAKAN,1,ngeleg,2026-01-06 12:06:15,
Micki Laka pereirra,5,Saya menkuai nya hanya Ita Saaa,2026-01-06 12:06:05,
lusi anah,1,game tolol...game isinya sistem darksistem...game jemboood,2026-01-06 12:05:46,
Dimas Drajat,1,game busuk rank nya ga naik naik,2026-01-06 12:05:06,
rezha boy,5,suka banget,2026-01-06 12:04:01,
ziya stecuu.,1,"knp klo push tim suka kebagian troll, sementara musuh pd jago, mvp kalah juga tetep suka turun bintang..",2026-01-06 12:03:58,
Wildan Prayoga,5,game inih khusus orang - orang kuat mental nya jadi bagi Luh yang gak kuat mental Luh jangan ngasih ulasan yang gak bener,2026-01-06 12:03:36,
Ali Firman,4,"Seru sih tetapi sistem belum sepenuhnya bisa membaca lawan yg sepadan,,,sering kena draksistem monton dan untuk naik level sangat sulit",2026-01-06 12:00:54,
Bendetta Xgacor,5,Game sudah bagus tapi kurangnya kalau mau ganti akun harus punya fb meta kalau pakek fb lite gk bisa ganti akun tolong lah mobtoon,2026-01-06 11:58:40,
Riski Maulana,1,kalah Mulu main ni game,2026-01-06 11:58:37,
